(~I <=> D) & (~H <=> F) & (~I <=> D) & (~I <=> D) & H & H & (E & ~H) & H & I & (~H <=> F) & (~H <=> F) & (E & ~H) . What is ~E ?	(~I <=> D) & (~H <=> F) & H & (E & ~H) & I . What is ~E ?	(~I <=> D) & (~H <=> F) & H & (E & ~H) & I	Contradictory
(A ^ ~E) & (~E & ~J) & (~E & ~J) & D & (~E & ~J) & (~I <=> A) & (~I <=> A) & (~I <=> A) . What is ~E ?	(A ^ ~E) & (~E & ~J) & D & (~I <=> A) . What is ~E ?	(A ^ ~E) & (~E & ~J) & D & (~I <=> A)	True
(~B | A) . What is H ?	(~B | A) . What is H ?	(~B | A)	Unknown HELP!
(A & I) & G & (D <=> H) & ~E & (B ==> A) & (D <=> H) & (B ==> A) & (B ==> A) . What is B ?	(A & I) & G & (D <=> H) & ~E & (B ==> A) . What is B ?	(A & I) & G & (D <=> H) & ~E & (B ==> A)	Unknown HELP!
~F & ~F . What is F ?	~F . What is F ?	~F	False
(~I & F) & (G ^ ~I) & (G ^ ~I) & (G ^ ~I) . What is ~F ?	(~I & F) & (G ^ ~I) . What is ~F ?	(~I & F) & (G ^ ~I)	False
~J & ~H & ~H & (G ^ F) & ~H & (G ^ F) & ~J & (F & D) & (B ==> ~J) & (I & G) & (F & D) & (F & D) . What is G ?	~J & ~H & (G ^ F) & (F & D) & (B ==> ~J) & (I & G) . What is G ?	~J & ~H & (G ^ F) & (F & D) & (B ==> ~J) & (I & G)	Contradictory
~J & (G & I) & (I | A) & (J <=> G) & (G & I) & (J <=> G) & (I | A) & (J <=> G) & (I | A) . What is ~J ?	~J & (G & I) & (I | A) & (J <=> G) . What is ~J ?	~J & (G & I) & (I | A) & (J <=> G)	Contradictory
(B & ~I) & (~I & C) & (~E <=> B) & (B & ~I) & (~E <=> B) & (B & ~I) & (~G <=> H) & G & ~I & ~I & ~I . What is I ?	(B & ~I) & (~I & C) & (~E <=> B) & (~G <=> H) & G & ~I . What is I ?	(B & ~I) & (~I & C) & (~E <=> B) & (~G <=> H) & G & ~I	False
I & I . What is ~D ?	I . What is ~D ?	I	Unknown HELP!
(~G & ~I) & D & (~G & ~I) & (D <=> E) & D & D . What is I ?	(~G & ~I) & D & (D <=> E) . What is I ?	(~G & ~I) & D & (D <=> E)	False
F & (C & B) & (J ==> C) & (J ==> C) . What is ~C ?	F & (C & B) & (J ==> C) . What is ~C ?	F & (C & B) & (J ==> C)	False
(~J | E) & E & D & (A ^ ~D) & E & (A ^ ~D) & E & (A ^ ~D) & (~I <=> C) & (~I <=> C) & (~I <=> C) & (C ==> ~J) & (C ==> ~J) & (~J | E) & (C ==> ~J) . What is ~E ?	(~J | E) & E & D & (A ^ ~D) & (~I <=> C) & (C ==> ~J) . What is ~E ?	(~J | E) & E & D & (A ^ ~D) & (~I <=> C) & (C ==> ~J)	False
C & C & (~C | ~J) & (~C | ~J) & (~C | ~J) . What is J ?	C & (~C | ~J) . What is J ?	C & (~C | ~J)	False
I & (~B <=> ~E) & (~A & ~C) & ~J & ~J & (~C ==> ~J) & I . What is ~C ?	I & (~B <=> ~E) & (~A & ~C) & ~J & (~C ==> ~J) . What is ~C ?	I & (~B <=> ~E) & (~A & ~C) & ~J & (~C ==> ~J)	True
C & (~J | G) & (~J | G) & C & C . What is C ?	C & (~J | G) . What is C ?	C & (~J | G)	True
G & G . What is I ?	G . What is I ?	G	Unknown HELP!
(D | H) & (H ==> E) & (E & I) & ~H & (E & I) & (E & I) . What is D ?	(D | H) & (H ==> E) & (E & I) & ~H . What is D ?	(D | H) & (H ==> E) & (E & I) & ~H	True
(H <=> F) & ~H & ~H & ~H . What is ~F ?	(H <=> F) & ~H . What is ~F ?	(H <=> F) & ~H	True
(B ^ G) & ~H & (C ^ ~H) & (C ^ ~H) & ~G & ~H & ~H . What is ~G ?	(B ^ G) & ~H & (C ^ ~H) & ~G . What is ~G ?	(B ^ G) & ~H & (C ^ ~H) & ~G	True
(I & ~J) & ~J & (I & ~J) & (~J ^ ~F) & (~J ^ ~F) & ~J . What is F ?	(I & ~J) & ~J & (~J ^ ~F) . What is F ?	(I & ~J) & ~J & (~J ^ ~F)	True
~G & (F & I) & ~G & (F & I) & (I | H) & (I | H) . What is F ?	~G & (F & I) & (I | H) . What is F ?	~G & (F & I) & (I | H)	True
~J . What is J ?	~J . What is J ?	~J	False
~D & ~D . What is D ?	~D . What is D ?	~D	False
(C ^ ~I) & G & (G <=> E) & (G <=> E) & (G <=> E) & ~I . What is ~G ?	(C ^ ~I) & G & (G <=> E) & ~I . What is ~G ?	(C ^ ~I) & G & (G <=> E) & ~I	False
A . What is A ?	A . What is A ?	A	True
(~B & ~G) & C & C & D & D & C & (C | ~B) & (D ^ I) & (C | ~B) & D . What is ~B ?	(~B & ~G) & C & D & (C | ~B) & (D ^ I) . What is ~B ?	(~B & ~G) & C & D & (C | ~B) & (D ^ I)	True
(~G ^ E) & (E <=> C) & (C & ~H) & (E <=> C) & (C & ~H) & (C & ~H) & ~E & (E <=> C) & ~E . What is ~G ?	(~G ^ E) & (E <=> C) & (C & ~H) & ~E . What is ~G ?	(~G ^ E) & (E <=> C) & (C & ~H) & ~E	Contradictory
(~F <=> ~G) & (~H & ~F) & I & I & (~D <=> ~I) & I & (~D <=> ~I) & (~H & ~F) . What is G ?	(~F <=> ~G) & (~H & ~F) & I & (~D <=> ~I) . What is G ?	(~F <=> ~G) & (~H & ~F) & I & (~D <=> ~I)	False
~B & (~A <=> ~D) & ~B . What is B ?	~B & (~A <=> ~D) . What is B ?	~B & (~A <=> ~D)	False
(~F ^ D) & (D ^ ~G) & (D ^ ~G) & (A ==> B) & (A ==> B) & (~F ^ D) & (~G & E) & ~B & (D ^ ~G) & ~J & ~J & ~J & ~B & (~G & E) . What is E ?	(~F ^ D) & (D ^ ~G) & (A ==> B) & (~G & E) & ~B & ~J . What is E ?	(~F ^ D) & (D ^ ~G) & (A ==> B) & (~G & E) & ~B & ~J	True
(~J & I) & (~F <=> ~J) & (~H | E) & (~J & I) & (I ==> ~B) & (I ==> ~B) & (~H | E) & ~C & (I ==> ~B) . What is I ?	(~J & I) & (~F <=> ~J) & (~H | E) & (I ==> ~B) & ~C . What is I ?	(~J & I) & (~F <=> ~J) & (~H | E) & (I ==> ~B) & ~C	True
~A & (~C ^ A) & (H | ~C) & (A | D) & (H | ~C) & ~B & ~B & (~B | ~F) & ~B . What is ~C ?	~A & (~C ^ A) & (H | ~C) & (A | D) & ~B & (~B | ~F) . What is ~C ?	~A & (~C ^ A) & (H | ~C) & (A | D) & ~B & (~B | ~F)	True
(C | G) & ~G & (~A ^ F) & (F <=> C) & (C | G) & (F <=> C) & (F <=> C) & (C | G) . What is ~G ?	(C | G) & ~G & (~A ^ F) & (F <=> C) . What is ~G ?	(C | G) & ~G & (~A ^ F) & (F <=> C)	True
~G & ~G & (H & ~G) & (H & ~G) . What is ~G ?	~G & (H & ~G) . What is ~G ?	~G & (H & ~G)	True
(~I & G) & C & C & C & (~I & G) . What is G ?	(~I & G) & C . What is G ?	(~I & G) & C	True
(G ==> J) & (H <=> F) & ~G & ~F & ~G & ~F & ~G & (G ==> J) & (G ==> J) . What is ~G ?	(G ==> J) & (H <=> F) & ~G & ~F . What is ~G ?	(G ==> J) & (H <=> F) & ~G & ~F	True
~D & ~D & ~D . What is ~D ?	~D . What is ~D ?	~D	True
(H ^ ~D) & (A <=> H) & (A <=> H) & (A <=> H) & (~D & J) & (~B <=> C) & D & (H ^ ~D) & I & D & (~D & J) & D . What is ~H ?	(H ^ ~D) & (A <=> H) & (~D & J) & (~B <=> C) & D & I . What is ~H ?	(H ^ ~D) & (A <=> H) & (~D & J) & (~B <=> C) & D & I	Contradictory
(C ^ ~F) & (~F & H) & (H ^ ~E) & (C ^ ~F) & (C ^ ~F) & (H ^ ~E) & (H ^ ~E) & (~B | ~I) & (~B | ~I) & ~D & ~D . What is ~E ?	(C ^ ~F) & (~F & H) & (H ^ ~E) & (~B | ~I) & ~D . What is ~E ?	(C ^ ~F) & (~F & H) & (H ^ ~E) & (~B | ~I) & ~D	False
H & H . What is ~H ?	H . What is ~H ?	H	False
(~E & ~F) & (~E & ~F) & H & (~E & ~F) & (~H ^ B) . What is ~E ?	(~E & ~F) & H & (~H ^ B) . What is ~E ?	(~E & ~F) & H & (~H ^ B)	True
(~E & J) & (~E & J) & (J ^ ~A) & (J ^ ~A) & (J ^ ~A) . What is J ?	(~E & J) & (J ^ ~A) . What is J ?	(~E & J) & (J ^ ~A)	True
(~A & I) & (~A & I) . What is ~A ?	(~A & I) . What is ~A ?	(~A & I)	True
(B | ~F) & (B | ~F) & ~I & (~F & G) & ~A & (~I | B) & (~H | A) & (B | ~F) & (~H | A) & (~F & G) & ~I & ~A & ~A & (~F & G) . What is I ?	(B | ~F) & ~I & (~F & G) & ~A & (~I | B) & (~H | A) . What is I ?	(B | ~F) & ~I & (~F & G) & ~A & (~I | B) & (~H | A)	False
(H <=> E) & ~J & (H <=> E) & (E & B) & (H <=> E) & (~D | J) & A & A & A . What is ~A ?	(H <=> E) & ~J & (E & B) & (~D | J) & A . What is ~A ?	(H <=> E) & ~J & (E & B) & (~D | J) & A	False
~G & ~G & ~G . What is ~G ?	~G . What is ~G ?	~G	True
(D ^ E) & (B | D) & ~E & (B | D) & (D ^ E) . What is E ?	(D ^ E) & (B | D) & ~E . What is E ?	(D ^ E) & (B | D) & ~E	False
~G & (C ==> G) & (~A ==> E) & E & (E & ~F) & (E & ~F) & (C ==> G) . What is ~E ?	~G & (C ==> G) & (~A ==> E) & E & (E & ~F) . What is ~E ?	~G & (C ==> G) & (~A ==> E) & E & (E & ~F)	False
F . What is F ?	F . What is F ?	F	True
~E & ~E & ~E . What is ~E ?	~E . What is ~E ?	~E	True
(~A <=> ~G) & (~A <=> ~G) & A & ~E & A & (D | ~E) & ~E & ~E & (D | ~E) & A & (~E <=> J) & (D | ~E) . What is E ?	(~A <=> ~G) & A & ~E & (D | ~E) & (~E <=> J) . What is E ?	(~A <=> ~G) & A & ~E & (D | ~E) & (~E <=> J)	False
~I . What is ~I ?	~I . What is ~I ?	~I	True
~E & ~E & (E & ~C) & (E & ~C) & (E & ~C) . What is E ?	~E & (E & ~C) . What is E ?	~E & (E & ~C)	Contradictory
F & (~A ==> ~F) & (~A ==> ~F) & (~H <=> ~A) & (~H <=> ~A) & (~H <=> ~A) . What is F ?	F & (~A ==> ~F) & (~H <=> ~A) . What is F ?	F & (~A ==> ~F) & (~H <=> ~A)	True
~G & ~G & ~G . What is ~G ?	~G . What is ~G ?	~G	True
~C & ~C & (B | ~C) . What is C ?	~C & (B | ~C) . What is C ?	~C & (B | ~C)	False
(H <=> ~F) & (J <=> ~B) & (~E & J) & (H <=> ~F) & (~C & ~E) & (~C & ~E) & (J <=> ~B) & I . What is ~E ?	(H <=> ~F) & (J <=> ~B) & (~E & J) & (~C & ~E) & I . What is ~E ?	(H <=> ~F) & (J <=> ~B) & (~E & J) & (~C & ~E) & I	True
J & J & J . What is J ?	J . What is J ?	J	True
~B & ~B & ~B & (A & B) & (A & B) . What is B ?	~B & (A & B) . What is B ?	~B & (A & B)	Contradictory
~F & ~F . What is ~F ?	~F . What is ~F ?	~F	True
A & A . What is A ?	A . What is A ?	A	True
(A | H) & (~D & J) & (~D & J) & (J & A) & (~D & J) & (J & A) . What is J ?	(A | H) & (~D & J) & (J & A) . What is J ?	(A | H) & (~D & J) & (J & A)	True
(J <=> ~C) & ~B & ~C & (~B <=> F) & ~C & (A <=> J) & ~C & (A <=> J) & (A <=> J) . What is ~C ?	(J <=> ~C) & ~B & ~C & (~B <=> F) & (A <=> J) . What is ~C ?	(J <=> ~C) & ~B & ~C & (~B <=> F) & (A <=> J)	True
(~A <=> ~D) & ~B & (F <=> ~A) & ~B & (C <=> F) & (~G ^ H) & (C <=> F) & (C <=> F) & ~H & (~A <=> ~D) & (~A <=> ~D) & (~G ^ H) . What is ~B ?	(~A <=> ~D) & ~B & (F <=> ~A) & (C <=> F) & (~G ^ H) & ~H . What is ~B ?	(~A <=> ~D) & ~B & (F <=> ~A) & (C <=> F) & (~G ^ H) & ~H	True
(~E & ~D) & (~H <=> ~E) & (~H <=> ~E) . What is ~H ?	(~E & ~D) & (~H <=> ~E) . What is ~H ?	(~E & ~D) & (~H <=> ~E)	True
(~E & G) & (~E & G) & (~E & G) . What is E ?	(~E & G) . What is E ?	(~E & G)	False
F . What is ~F ?	F . What is ~F ?	F	False
~H & (A ^ ~D) & (A ^ ~D) & (A ^ ~D) & (~D <=> H) . What is D ?	~H & (A ^ ~D) & (~D <=> H) . What is D ?	~H & (A ^ ~D) & (~D <=> H)	True
C & C & C . What is C ?	C . What is C ?	C	True
(~F <=> ~I) & D & (D ==> J) & ~G & (~H <=> D) & ~G & ~G . What is H ?	(~F <=> ~I) & D & (D ==> J) & ~G & (~H <=> D) . What is H ?	(~F <=> ~I) & D & (D ==> J) & ~G & (~H <=> D)	False
J & J . What is J ?	J . What is J ?	J	True
J & (~F & E) & (~D & ~F) & (~F & E) & (~D & ~F) & (~A <=> ~H) & (E ^ G) & (~A <=> ~H) & (~A <=> ~H) . What is D ?	J & (~F & E) & (~D & ~F) & (~A <=> ~H) & (E ^ G) . What is D ?	J & (~F & E) & (~D & ~F) & (~A <=> ~H) & (E ^ G)	False
(H | C) & (~A & H) & ~G & (H | C) & (~J ==> ~E) & (~D & ~A) & (~J ==> ~E) & (~A & H) & (H | C) & (~A & H) & (~D & ~A) . What is D ?	(H | C) & (~A & H) & ~G & (~J ==> ~E) & (~D & ~A) . What is D ?	(H | C) & (~A & H) & ~G & (~J ==> ~E) & (~D & ~A)	False
(~E & A) & (C ==> ~D) & G & G & ~I & (A <=> C) & (C ==> ~D) & ~I & (C ==> ~D) & ~I & (A <=> C) & (~E & A) & (G ==> F) & (A <=> C) & (~E & A) . What is A ?	(~E & A) & (C ==> ~D) & G & ~I & (A <=> C) & (G ==> F) . What is A ?	(~E & A) & (C ==> ~D) & G & ~I & (A <=> C) & (G ==> F)	True
~H . What is ~H ?	~H . What is ~H ?	~H	True
~C & ~C & (F & ~B) & (I & H) & (I & H) & (F & ~B) & (~B & I) & (~B & I) & (~B & I) & (E <=> G) & (F & ~B) & (E <=> G) & (E <=> G) . What is B ?	~C & (F & ~B) & (I & H) & (~B & I) & (E <=> G) . What is B ?	~C & (F & ~B) & (I & H) & (~B & I) & (E <=> G)	False
~G & ~G . What is ~G ?	~G . What is ~G ?	~G	True
(E | ~D) & H & (~B & ~H) & (~D | J) . What is ~D ?	(E | ~D) & H & (~B & ~H) & (~D | J) . What is ~D ?	(E | ~D) & H & (~B & ~H) & (~D | J)	Contradictory
(I & ~C) & (G <=> I) & (B & G) & (G <=> I) & (G <=> I) . What is C ?	(I & ~C) & (G <=> I) & (B & G) . What is C ?	(I & ~C) & (G <=> I) & (B & G)	False
(~J & D) & ~D & (B ^ ~G) & (~J & D) & (B ^ ~G) . What is G ?	(~J & D) & ~D & (B ^ ~G) . What is G ?	(~J & D) & ~D & (B ^ ~G)	Contradictory
G & (~D <=> G) & ~H & ~H & (~H ^ B) & (~D <=> G) & (~H ^ B) & G & (~D <=> G) & G & (~H ^ B) . What is ~I ?	G & (~D <=> G) & ~H & (~H ^ B) . What is ~I ?	G & (~D <=> G) & ~H & (~H ^ B)	Unknown HELP!
(~H & ~B) & ~D & (~A <=> ~H) & ~D & (~A <=> ~H) & (~F & ~E) & (~A <=> ~H) . What is ~A ?	(~H & ~B) & ~D & (~A <=> ~H) & (~F & ~E) . What is ~A ?	(~H & ~B) & ~D & (~A <=> ~H) & (~F & ~E)	True
(~H & ~C) & (~F <=> G) & (G ==> ~H) & (G ==> ~H) & (G ==> ~H) . What is H ?	(~H & ~C) & (~F <=> G) & (G ==> ~H) . What is H ?	(~H & ~C) & (~F <=> G) & (G ==> ~H)	False
A & A . What is ~A ?	A . What is ~A ?	A	False
(~F & ~J) & (~B & I) & (~B & I) & (~B & I) & (~J <=> G) & B & (A ==> ~F) & (A ==> ~F) & (A ==> ~F) . What is ~H ?	(~F & ~J) & (~B & I) & (~J <=> G) & B & (A ==> ~F) . What is ~H ?	(~F & ~J) & (~B & I) & (~J <=> G) & B & (A ==> ~F)	Contradictory
(C & ~B) & (C & ~B) & A & (H ^ D) & (C & ~B) & (H ^ D) & (H ^ D) . What is E ?	(C & ~B) & A & (H ^ D) . What is E ?	(C & ~B) & A & (H ^ D)	Unknown HELP!
J & J & (~B ==> J) & (E & H) & ~F & (E & H) & (~B ==> J) & (~B ==> J) . What is ~E ?	J & (~B ==> J) & (E & H) & ~F . What is ~E ?	J & (~B ==> J) & (E & H) & ~F	False
(~E ==> ~F) & ~E & (~A ==> ~E) & (~E ==> ~F) & (~A ==> ~E) & ~E . What is F ?	(~E ==> ~F) & ~E & (~A ==> ~E) . What is F ?	(~E ==> ~F) & ~E & (~A ==> ~E)	False
(G & A) & ~I & ~I & (~D & G) & (I & C) & (I & C) & (~D & G) & (~D & G) . What is G ?	(G & A) & ~I & (~D & G) & (I & C) . What is G ?	(G & A) & ~I & (~D & G) & (I & C)	Contradictory
(~H ==> ~F) & D & D & D & (~D ==> ~B) & (~F | ~C) & F & (~D ==> ~B) & (~D ==> ~B) & F . What is ~C ?	(~H ==> ~F) & D & (~D ==> ~B) & (~F | ~C) & F . What is ~C ?	(~H ==> ~F) & D & (~D ==> ~B) & (~F | ~C) & F	True
~C & (E | F) & (I ==> ~A) & ~C & (C ^ B) & E & E & (F <=> I) & E & (F <=> I) & (F <=> I) & ~C & (C ^ B) & (C ^ B) . What is ~E ?	~C & (E | F) & (I ==> ~A) & (C ^ B) & E & (F <=> I) . What is ~E ?	~C & (E | F) & (I ==> ~A) & (C ^ B) & E & (F <=> I)	False
(D & ~F) & (~F <=> J) & (J ^ C) & (D & ~F) & I & (D & ~F) . What is ~J ?	(D & ~F) & (~F <=> J) & (J ^ C) & I . What is ~J ?	(D & ~F) & (~F <=> J) & (J ^ C) & I	False
(~J & G) & (~J & G) . What is ~G ?	(~J & G) . What is ~G ?	(~J & G)	False
(~G ==> D) & ~G & (E ^ ~G) & (C <=> E) & ~G & (E ^ ~G) & ~G & (E ^ ~G) . What is E ?	(~G ==> D) & ~G & (E ^ ~G) & (C <=> E) . What is E ?	(~G ==> D) & ~G & (E ^ ~G) & (C <=> E)	False
(G ==> E) & (~D & G) & B & (G ==> E) & (G ==> E) & B & B & (E <=> ~B) & (E <=> ~B) . What is ~D ?	(G ==> E) & (~D & G) & B & (E <=> ~B) . What is ~D ?	(G ==> E) & (~D & G) & B & (E <=> ~B)	Contradictory
(I ==> C) & (I ==> C) & (I ==> C) & (~F | I) & (~F | I) & (~F | I) . What is C ?	(I ==> C) & (~F | I) . What is C ?	(I ==> C) & (~F | I)	Unknown HELP!
~I & (~D & F) & (~E ^ ~D) & ~E & ~E & (~G & ~I) & (F | ~C) . What is C ?	~I & (~D & F) & (~E ^ ~D) & ~E & (~G & ~I) & (F | ~C) . What is C ?	~I & (~D & F) & (~E ^ ~D) & ~E & (~G & ~I) & (F | ~C)	Contradictory
(~B <=> ~E) & (~A <=> ~F) & (~A <=> ~F) & (~A <=> ~F) & (~E & ~A) & (~E & ~A) & (~E & ~A) . What is ~E ?	(~B <=> ~E) & (~A <=> ~F) & (~E & ~A) . What is ~E ?	(~B <=> ~E) & (~A <=> ~F) & (~E & ~A)	True
(~A <=> ~F) & (D ^ ~A) & ~J & (D ^ ~A) & (E & J) & (D ^ ~A) & ~J & (E & J) & (~A <=> ~F) & (~F <=> ~C) & (~A <=> ~F) & (~F <=> ~C) & (E & J) . What is ~F ?	(~A <=> ~F) & (D ^ ~A) & ~J & (E & J) & (~F <=> ~C) . What is ~F ?	(~A <=> ~F) & (D ^ ~A) & ~J & (E & J) & (~F <=> ~C)	Contradictory
~I . What is ~I ?	~I . What is ~I ?	~I	True
(~G ==> ~D) & D & (I ^ ~G) & (I ^ ~G) & D & (~G ==> ~D) & ~A & D & ~A & (J & B) . What is I ?	(~G ==> ~D) & D & (I ^ ~G) & ~A & (J & B) . What is I ?	(~G ==> ~D) & D & (I ^ ~G) & ~A & (J & B)	True
(~I ==> J) & (~I ==> J) & (~I ==> J) & G & (~G ^ ~I) & (~G ^ ~I) & G & (~G ^ ~I) . What is I ?	(~I ==> J) & G & (~G ^ ~I) . What is I ?	(~I ==> J) & G & (~G ^ ~I)	False
~D & (H | ~C) & (~C ==> ~B) & (H | ~C) & (H | ~C) & (~I & H) & (~I & H) & (~D ==> E) . What is ~I ?	~D & (H | ~C) & (~C ==> ~B) & (~I & H) & (~D ==> E) . What is ~I ?	~D & (H | ~C) & (~C ==> ~B) & (~I & H) & (~D ==> E)	True
~F & ~F & (~B ==> F) & ~F . What is ~F ?	~F & (~B ==> F) . What is ~F ?	~F & (~B ==> F)	True
(F ==> I) & (F ==> I) & (I & C) & (F ==> I) & (I & C) & (I & C) . What is I ?	(F ==> I) & (I & C) . What is I ?	(F ==> I) & (I & C)	True
(~G & ~I) & (E | ~G) & ~B & ~E & (~B & H) & (E | ~G) & (E | ~G) . What is E ?	(~G & ~I) & (E | ~G) & ~B & ~E & (~B & H) . What is E ?	(~G & ~I) & (E | ~G) & ~B & ~E & (~B & H)	False
(I <=> ~E) & (A | I) & (~J ^ A) . What is D ?	(I <=> ~E) & (A | I) & (~J ^ A) . What is D ?	(I <=> ~E) & (A | I) & (~J ^ A)	Unknown HELP!
(A ==> G) & (B & A) & (A ==> G) & (B & A) & (B & A) & (G | ~H) & I & I & (G | ~H) . What is B ?	(A ==> G) & (B & A) & (G | ~H) & I . What is B ?	(A ==> G) & (B & A) & (G | ~H) & I	True
(A | ~B) & ~F & (C ^ H) & (H ==> ~D) & (A | ~B) & (C ^ H) & (A | ~B) & ~F & (C ^ H) & (H ==> ~D) & (H ==> ~D) & (~D <=> ~J) & (~D <=> ~J) & (~D <=> ~J) . What is C ?	(A | ~B) & ~F & (C ^ H) & (H ==> ~D) & (~D <=> ~J) . What is C ?	(A | ~B) & ~F & (C ^ H) & (H ==> ~D) & (~D <=> ~J)	Unknown HELP!
J & J & J & (J <=> A) & (F ^ ~C) & (J <=> A) & ~C & ~C & (J <=> A) . What is ~J ?	J & (J <=> A) & (F ^ ~C) & ~C . What is ~J ?	J & (J <=> A) & (F ^ ~C) & ~C	False
(A ^ ~J) & ~A & (C | A) . What is C ?	(A ^ ~J) & ~A & (C | A) . What is C ?	(A ^ ~J) & ~A & (C | A)	True
(~F | A) & (C ^ E) & (~F | A) & (C ^ E) & (A ^ C) & (~F | A) & (A ^ C) & (A ^ C) & ~J . What is ~C ?	(~F | A) & (C ^ E) & (A ^ C) & ~J . What is ~C ?	(~F | A) & (C ^ E) & (A ^ C) & ~J	Unknown HELP!
(~J ==> H) & (~J ==> H) & (C & ~I) & (~I ^ ~J) & (C & ~I) . What is ~C ?	(~J ==> H) & (C & ~I) & (~I ^ ~J) . What is ~C ?	(~J ==> H) & (C & ~I) & (~I ^ ~J)	False
C & C & C . What is ~C ?	C . What is ~C ?	C	False
(D | ~I) & (H ^ ~A) & (D | ~I) & (~I <=> H) & (H ^ ~A) & ~I & (D | ~I) . What is ~I ?	(D | ~I) & (H ^ ~A) & (~I <=> H) & ~I . What is ~I ?	(D | ~I) & (H ^ ~A) & (~I <=> H) & ~I	True
(~A | B) & ~J & (B <=> J) . What is J ?	(~A | B) & ~J & (B <=> J) . What is J ?	(~A | B) & ~J & (B <=> J)	False
(~I ==> ~B) & (~B | ~G) & A & (J ^ ~C) & (J ^ ~C) & (J ^ ~C) & (~G & D) & (~B | ~G) & (~I ==> ~B) & (~I ==> ~B) & (~G & D) & (~G & D) . What is H ?	(~I ==> ~B) & (~B | ~G) & A & (J ^ ~C) & (~G & D) . What is H ?	(~I ==> ~B) & (~B | ~G) & A & (J ^ ~C) & (~G & D)	Unknown HELP!
(H ^ ~G) . What is B ?	(H ^ ~G) . What is B ?	(H ^ ~G)	Unknown HELP!
~G . What is G ?	~G . What is G ?	~G	False
I & (I ==> ~F) & (~F & G) & (I ==> ~F) & (~F & G) & (~F & G) & (I ==> ~F) & I & I . What is ~F ?	I & (I ==> ~F) & (~F & G) . What is ~F ?	I & (I ==> ~F) & (~F & G)	True
(G & I) & (E ^ G) & G & (E ^ G) & G & (E ^ G) . What is ~I ?	(G & I) & (E ^ G) & G . What is ~I ?	(G & I) & (E ^ G) & G	False
(~I ^ ~J) & (B ==> ~I) & (B ==> ~I) & (B ==> ~I) & (~I ^ ~J) & ~H & (~G <=> ~F) & (~G <=> ~F) & (~G <=> ~F) & (~J & E) & ~H & ~H . What is ~B ?	(~I ^ ~J) & (B ==> ~I) & ~H & (~G <=> ~F) & (~J & E) . What is ~B ?	(~I ^ ~J) & (B ==> ~I) & ~H & (~G <=> ~F) & (~J & E)	True
(E ==> B) & (E ==> B) & (~H <=> ~G) & ~F & (B & ~H) & (B & ~H) & (B & ~H) . What is F ?	(E ==> B) & (~H <=> ~G) & ~F & (B & ~H) . What is F ?	(E ==> B) & (~H <=> ~G) & ~F & (B & ~H)	False
~C & (A & ~C) & G & G & (A & ~C) & (G | D) & G & (G | D) & ~C . What is ~G ?	~C & (A & ~C) & G & (G | D) . What is ~G ?	~C & (A & ~C) & G & (G | D)	False
E & E & E . What is ~E ?	E . What is ~E ?	E	False
~D & (~D ==> ~F) & ~D & (~G & ~E) & (~G & ~E) & ~B & ~B & ~B . What is ~B ?	~D & (~D ==> ~F) & (~G & ~E) & ~B . What is ~B ?	~D & (~D ==> ~F) & (~G & ~E) & ~B	True
~C & ~C & ~C . What is ~C ?	~C . What is ~C ?	~C	True
~J . What is ~E ?	~J . What is ~E ?	~J	Unknown HELP!
G & G . What is G ?	G . What is G ?	G	True
(~J <=> ~B) & (~J <=> ~B) & J & J . What is ~J ?	(~J <=> ~B) & J . What is ~J ?	(~J <=> ~B) & J	False
(~I & ~H) & ~G & F & F & (~G <=> ~D) & (~G <=> ~D) & (~G <=> ~D) & ~G & ~G . What is G ?	(~I & ~H) & ~G & F & (~G <=> ~D) . What is G ?	(~I & ~H) & ~G & F & (~G <=> ~D)	False
~J & (F | I) & (I <=> ~A) & (~D ^ F) & F & (B | ~J) . What is E ?	~J & (F | I) & (I <=> ~A) & (~D ^ F) & F & (B | ~J) . What is E ?	~J & (F | I) & (I <=> ~A) & (~D ^ F) & F & (B | ~J)	Unknown HELP!
(F ^ ~I) & ~D & (~E | D) & ~D & ~D & ~J & (~E | D) & ~J & (~E | D) & ~J . What is J ?	(F ^ ~I) & ~D & (~E | D) & ~J . What is J ?	(F ^ ~I) & ~D & (~E | D) & ~J	False
(~A ==> J) & (~A ==> J) & (~F & ~A) . What is ~F ?	(~A ==> J) & (~F & ~A) . What is ~F ?	(~A ==> J) & (~F & ~A)	True
(C ==> D) & (C ==> D) & C & (D ==> H) & (F | ~B) & (C ==> D) & (D ==> H) & F & F . What is ~H ?	(C ==> D) & C & (D ==> H) & (F | ~B) & F . What is ~H ?	(C ==> D) & C & (D ==> H) & (F | ~B) & F	False
H & (~D & ~G) . What is ~D ?	H & (~D & ~G) . What is ~D ?	H & (~D & ~G)	True
(~G | ~E) & (~G | ~E) & (B ==> ~G) & A . What is E ?	(~G | ~E) & (B ==> ~G) & A . What is E ?	(~G | ~E) & (B ==> ~G) & A	Unknown HELP!
(H ^ A) & (I ^ B) & (~G ^ ~J) & (H ^ A) & (I ^ B) & G & (~G ^ ~J) & (B & H) & ~I & (~G ^ ~J) & G & G . What is ~A ?	(H ^ A) & (I ^ B) & (~G ^ ~J) & G & (B & H) & ~I . What is ~A ?	(H ^ A) & (I ^ B) & (~G ^ ~J) & G & (B & H) & ~I	True
